W,Gp_W
6283.185307179586,5.5110362532167e-09
7208.428325958931,5.761544353585341e-09
8269.922218124464,3.834905878507764e-09
9487.729194362011,4.926959952735552e-09
10884.864562451772,5.951456973085533e-09
12487.742833425127,6.131017110762771e-09
14326.648960462684,5.88065009058286e-09
16436.354091054374,7.078541755971595e-09
18856.72503597425,7.158584352643349e-09
21633.515950629197,7.494841208409819e-09
24819.210281890082,7.570565034700524e-09
28480.30297986279,7.734925931749112e-09
32667.021827892917,1.0051204442864427e-08
37477.47876455206,1.0649003616050174e-08
42996.30829592795,1.1472410399756895e-08
49327.823864490354,1.2029731903793654e-08
56591.70130078515,1.4062120854540709e-08
64925.22192058888,1.648714793354006e-08
74485.96801140562,1.7759455822501487e-08
85454.52460214903,1.936185956650488e-08
98038.36247166217,2.2614030618169872e-08
112475.23735196871,2.6978943664597795e-08
129038.02798095945,2.6538503359490776e-08
148039.7626506381,3.034505938594063e-08
169839.7138968692,3.2756316544127315e-08
194849.8073483914,3.8436587077005915e-08
223542.85269956995,4.185620084248063e-08
256461.21450612068,4.629035932185301e-08
294226.9281134543,5.0092226455446455e-08
337554.0146998787,6.084596603266209e-08
387261.2989746256,7.25928920062746e-08
444288.30563667737,7.961144752250858e-08
509712.977957334,8.899901026505123e-08
584771.9096369013,1.0220808552877635e-07
670883.9695814467,1.1609668135211479e-07
769676.3771218235,1.3144044809747774e-07
883016.871922444,1.5194078381373587e-07
7296232.699034112,2.4465726223426507e-08
1162225.9190102369,1.9700575807819782e-07
1333371.7186369095,2.253580512516878e-07
1529720.6311677408,2.5132224571326913e-07
1754982.8775266204,2.9170424979857907e-07
2013417.2007147546,3.2818298397074183e-07
2309907.520671414,3.678447368865579e-07
2650057.8103720727,4.0940408900844276e-07
3040298.281660097,4.517588041788937e-07
3488004.137449056,4.941400037652735e-07
4001637.571710658,5.338203734979256e-07
4590907.9907000875,5.689996096794671e-07
5266952.340374321,5.96074807562389e-07
6042549.363011099,6.143886314134914e-07
6932357.7299320735,6.195284613563053e-07
7953199.4131601555,6.133702320526027e-07
9124366.304862509,5.9641781295371e-07
10467994.066876328,5.700068862504976e-07
12009479.33421323,5.33501607314874e-07
13777963.52032792,4.868604107742419e-07
15806866.88786928,4.275928859676075e-07
18134541.999952335,3.446726384834229e-07
20804990.00328327,2.6077791709450166e-07
23868671.159064036,2.3458267971495148e-07
27383503.869456217,6.84993228802722e-08
31415926.535897933,2.445743789988156e-07
